caso,alpha,origen,destino,distancia_base_m,distancia_alternativa_m,incremento_distancia_pct,ier_base,ier_alternativo,reduccion_ier_pct,ruta_cambio
1,0.0,12557786965,206154801,10125.623855288999,10125.623855288999,0.0,0.31421795043753814,0.31421795043753814,0.0,False
2,0.0,89283387,2300081764,12586.750278547654,12586.750278547654,0.0,0.32891409902072566,0.32891409902072566,0.0,False
3,0.0,1627144362,1139217432,15942.648439266402,15942.648439266402,0.0,0.1746132401792858,0.1746132401792858,0.0,False
4,0.0,235355154,206119334,2592.8618900408283,2592.8618900408283,0.0,0.2316182917888654,0.2316182917888654,0.0,False
5,0.0,13638963688,11083496389,14863.15070056967,14863.15070056967,0.0,0.3000516275380722,0.3000516275380722,0.0,False
6,0.0,199799388,11861796818,9306.951026079172,9306.951026079172,0.0,0.15524802829554082,0.15524802829554082,0.0,False
7,0.0,6034897129,92595950,5690.2062392180405,5690.2062392180405,0.0,0.2203418505182512,0.2203418505182512,0.0,False
8,0.0,89573830,206105981,9275.662768958206,9275.662768958206,0.0,0.37338319761254124,0.37338319761254124,0.0,False
9,0.0,1015323414,1383156053,10382.064196327145,10382.064196327145,0.0,0.1941329759430264,0.1941329759430264,0.0,False
10,0.0,8638574824,12079521367,15789.050860818292,15789.050860818292,0.0,0.24417109341905224,0.24417109341905224,0.0,False
11,0.0,89318596,11462899302,15675.971942763943,15675.971942763943,0.0,0.19292775897030573,0.19292775897030573,0.0,False
12,0.0,471112549,12916778952,9450.524154291856,9450.524154291856,0.0,0.16791814153103998,0.16791814153103998,0.0,False
13,0.0,11047216026,6034896758,6261.858246698843,6261.858246698843,0.0,0.21759945524748048,0.21759945524748048,0.0,False
14,0.0,1067030423,6685636158,2010.5764457002997,2010.5764457002997,0.0,0.2910397119169709,0.2910397119169709,0.0,False
15,0.0,11851497880,2426029187,1258.4295950341655,1258.4295950341655,0.0,0.3596380731248534,0.3596380731248534,0.0,False
16,0.0,81917860,243462091,12974.550119034831,12974.550119034831,0.0,0.24104212321786705,0.24104212321786705,0.0,False
17,0.0,6034979261,4072735918,2641.5831093251245,2641.5831093251245,0.0,0.3279695417927774,0.3279695417927774,0.0,False
18,0.0,2418484955,241968643,14973.401885536718,14973.401885536718,0.0,0.26156557476053044,0.26156557476053044,0.0,False
19,0.0,886393813,3846153504,6960.636511511439,6960.636511511439,0.0,0.2894745579466468,0.2894745579466468,0.0,False
20,0.0,206119285,205501570,4251.3130513330325,4251.3130513330325,0.0,0.31094578159038544,0.31094578159038544,0.0,False
21,0.0,4525551515,206109370,14020.722700095603,14020.722700095603,0.0,0.382445448780658,0.382445448780658,0.0,False
22,0.0,4456597250,4322661441,10021.017343144165,10021.017343144165,0.0,0.20794323032464201,0.20794323032464201,0.0,False
23,0.0,12079633066,2153010956,11142.59536955801,11142.59536955801,0.0,0.30907375868602116,0.30907375868602116,0.0,False
24,0.0,190996837,7337715737,6799.045367168021,6799.045367168021,0.0,0.06709570471134325,0.06709570471134325,0.0,False
25,0.0,10681923737,218308131,535.2404574004254,535.2404574004254,0.0,0.1739728134658946,0.1739728134658946,0.0,False
26,0.0,4524178066,199651466,12390.298757403689,12390.298757403689,0.0,0.20021113492940054,0.20021113492940054,0.0,False
27,0.0,11267813276,2973570883,11092.341239912548,11092.341239912548,0.0,0.18626532961621972,0.18626532961621972,0.0,False
28,0.0,12324595302,12244768073,3423.1162055447235,3423.1162055447235,0.0,0.11767705593239339,0.11767705593239339,0.0,False
29,0.0,4464198679,11688082425,8736.05463416934,8736.05463416934,0.0,0.1857189244057312,0.1857189244057312,0.0,False
30,0.0,316479920,199456382,8912.607876733773,8912.607876733773,0.0,0.1964786787389676,0.1964786787389676,0.0,False
1,0.5,12557786965,206154801,10125.623855288999,10125.623855288999,0.0,0.31421795043753814,0.31421795043753814,0.0,False
2,0.5,89283387,2300081764,12586.750278547654,12865.092752829642,2.2113926797799714,0.32891409902072566,0.24500648942230335,25.51049342312781,True
3,0.5,1627144362,1139217432,15942.648439266402,15942.648439266402,0.0,0.1746132401792858,0.1746132401792858,0.0,False
4,0.5,235355154,206119334,2592.8618900408283,2592.8618900408283,0.0,0.2316182917888654,0.2316182917888654,0.0,False
5,0.5,13638963688,11083496389,14863.15070056967,14930.706695237246,0.45452001415142357,0.3000516275380722,0.28890242832292246,3.7157602865310433,True
6,0.5,199799388,11861796818,9306.951026079172,9306.951026079172,0.0,0.15524802829554082,0.15524802829554082,0.0,False
7,0.5,6034897129,92595950,5690.2062392180405,5690.2062392180405,0.0,0.2203418505182512,0.2203418505182512,0.0,False
8,0.5,89573830,206105981,9275.662768958206,9586.21312944875,3.3480126242819814,0.37338319761254124,0.273938765168361,26.633344264026963,True
9,0.5,1015323414,1383156053,10382.064196327145,10382.064196327145,0.0,0.1941329759430264,0.1941329759430264,0.0,False
